Image,User inventory item ID,Name,Needs To Be Reordered,Has Been Reordered,Link,Estimated Value (USD),From Box,Sourced From,Tracking Link,Fulfilled,Notes,Prize ID
https://images.pokemontcg.io/cel25c/8_A_hires.png,06599ab9-9664-4dc0-8d0a-bf8d4a431c5a,Dark Gyarados,false,false,https://prices.pokemontcg.io/tcgplayer/cel25c-8_A,0.863013698630137,Celebrations: Classic Collection!,,,false,,3b3e5f87-bbc4-4950-8cc1-10782a2fc944
https://images.pokemontcg.io/cel25c/8_A_hires.png,34cb9265-471c-4705-8702-2ccca7136583,Dark Gyarados,false,false,https://prices.pokemontcg.io/tcgplayer/cel25c-8_A,0.863013698630137,Celebrations: Classic Collection!,,,false,,3b3e5f87-bbc4-4950-8cc1-10782a2fc944
https://images.pokemontcg.io/cel25c/8_A_hires.png,f8c35735-eaac-460c-a74a-7a5376fad358,Dark Gyarados,false,false,https://prices.pokemontcg.io/tcgplayer/cel25c-8_A,0.863013698630137,Celebrations: Classic Collection!,,,false,,3b3e5f87-bbc4-4950-8cc1-10782a2fc944
https://images.pokemontcg.io/cel25c/8_A_hires.png,7149f471-34b1-48b3-96fc-8138f7a6928d,Dark Gyarados,false,false,https://prices.pokemontcg.io/tcgplayer/cel25c-8_A,0.863013698630137,Celebrations: Classic Collection!,,,false,,3b3e5f87-bbc4-4950-8cc1-10782a2fc944
https://images.pokemontcg.io/cel25c/8_A_hires.png,c1d5bece-1fa7-4d43-a577-b30d5925ee1a,Dark Gyarados,false,false,https://prices.pokemontcg.io/tcgplayer/cel25c-8_A,0.863013698630137,Celebrations: Classic Collection!,,,false,,3b3e5f87-bbc4-4950-8cc1-10782a2fc944
https://images.pokemontcg.io/cel25c/8_A_hires.png,96d33de9-6434-4e25-b3f0-56dcd5c2bcf3,Dark Gyarados,false,false,https://prices.pokemontcg.io/tcgplayer/cel25c-8_A,0.863013698630137,Celebrations: Classic Collection!,,,false,,3b3e5f87-bbc4-4950-8cc1-10782a2fc944
https://images.pokemontcg.io/cel25c/107_A_hires.png,e2c8d4c6-80cc-470b-944d-9fe47a265099,Donphan,false,false,https://prices.pokemontcg.io/tcgplayer/cel25c-107_A,0.541095890410959,Celebrations: Classic Collection!,,,false,,48074e06-47ef-42f1-8d15-585ce69c142d
https://images.pokemontcg.io/cel25c/107_A_hires.png,f182d5cd-a71e-4184-8e2c-b408a1de00e3,Donphan,false,false,https://prices.pokemontcg.io/tcgplayer/cel25c-107_A,0.541095890410959,Celebrations: Classic Collection!,,,false,,48074e06-47ef-42f1-8d15-585ce69c142d
https://images.pokemontcg.io/cel25c/107_A_hires.png,35d99a91-b47a-44d8-bb40-8abc4da3c47f,Donphan,false,false,https://prices.pokemontcg.io/tcgplayer/cel25c-107_A,0.541095890410959,Celebrations: Classic Collection!,,,false,,48074e06-47ef-42f1-8d15-585ce69c142d
https://images.pokemontcg.io/cel25c/107_A_hires.png,89542b74-9fcd-4cf2-8332-75773476923d,Donphan,false,false,https://prices.pokemontcg.io/tcgplayer/cel25c-107_A,0.541095890410959,Celebrations: Classic Collection!,,,false,,48074e06-47ef-42f1-8d15-585ce69c142d
https://images.pokemontcg.io/cel25c/107_A_hires.png,c0ecaaf0-6d91-4567-9ede-5e8b24228102,Donphan,false,false,https://prices.pokemontcg.io/tcgplayer/cel25c-107_A,0.541095890410959,Celebrations: Classic Collection!,,,false,,48074e06-47ef-42f1-8d15-585ce69c142d
https://images.pokemontcg.io/cel25c/107_A_hires.png,b8db9c0c-6783-4d41-b913-e3aab7b15e37,Donphan,false,false,https://prices.pokemontcg.io/tcgplayer/cel25c-107_A,0.541095890410959,Celebrations: Classic Collection!,,,false,,48074e06-47ef-42f1-8d15-585ce69c142d
https://images.pokemontcg.io/cel25c/107_A_hires.png,068b1b82-f0a9-45eb-868f-e7890c301abf,Donphan,false,false,https://prices.pokemontcg.io/tcgplayer/cel25c-107_A,0.541095890410959,Celebrations: Classic Collection!,,,false,,48074e06-47ef-42f1-8d15-585ce69c142d
https://images.pokemontcg.io/cel25c/107_A_hires.png,1b74af86-feec-444e-92e4-8fea436a5393,Donphan,false,false,https://prices.pokemontcg.io/tcgplayer/cel25c-107_A,0.541095890410959,Celebrations: Classic Collection!,,,false,,48074e06-47ef-42f1-8d15-585ce69c142d
